蜜童,3.00,3.25,3.50,西瓜类,斤,2021-05-17
墨童西瓜,3.50,3.60,3.70,西瓜类,斤,2021-05-17
绿宝（p2）,1.80,1.90,2.00,西瓜类,斤,2021-05-17
国产香蕉,2.20,2.60,3.00,香蕉类,斤,2021-05-17
南美、菲律宾香蕉,2.70,3.10,3.50,香蕉类,斤,2021-05-17
泰国香蕉（帝王蕉）,7.00,7.50,8.00,香蕉类,斤,2021-05-17
晓蜜25号,2.00,2.25,2.50,甜瓜类,斤,2021-05-17
黄金瓜／金蜜,2.00,2.10,2.20,甜瓜类,斤,2021-05-17
玉菇,2.00,2.25,2.50,甜瓜类,斤,2021-05-17
网纹,3.00,3.30,3.60,甜瓜类,斤,2021-05-17
长香玉,1.80,2.00,2.20,甜瓜类,斤,2021-05-17
西洲蜜,2.80,2.90,3.00,甜瓜类,斤,2021-05-17
24白糖罐,2.50,2.75,3.00,甜瓜类,斤,2021-05-17
羊角蜜,2.30,4.15,6.00,甜瓜类,斤,2021-05-17
花蕾甜瓜,3.00,4.00,5.00,甜瓜类,斤,2021-05-17
久红瑞,2.00,2.15,2.30,甜瓜类,斤,2021-05-17
绿宝甜瓜,3.50,4.50,5.50,甜瓜类,斤,2021-05-17
博阳（系列）,2.50,3.50,4.50,甜瓜类,斤,2021-05-17
景甜,3.20,3.75,4.30,甜瓜类,斤,2021-05-17
208甜瓜,2.00,2.15,2.30,甜瓜类,斤,2021-05-17
大白菜,0.30,0.35,0.40,储存新,斤,2021-05-17
娃娃菜,0.50,0.55,0.60,大小,斤,2021-05-17
小白菜,0.40,0.55,0.70,普通,斤,2021-05-17
芹菜,1.00,1.10,1.20,冀,斤,2021-05-17
西芹,2.00,2.25,2.50,普通,斤,2021-05-17
菠菜,0.80,0.90,1.00,鲁冀,斤,2021-05-17
莴笋,0.70,1.05,1.40,闽浙鲁,斤,2021-05-17
团生菜,0.90,1.10,1.30,云冀,斤,2021-05-17
圆白菜,0.40,0.55,0.70,苏冀,斤,2021-05-17
紫甘蓝,1.20,1.35,1.50,闽云,斤,2021-05-17
散叶生菜,2.00,2.25,2.50,京,斤,2021-05-17
